,prompt,classes,answer_index
0,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""rick grew up in a troubled* household.""
 A. ""rick grew up in a troubled household.""
 B. ""rick grew up in a untroubled household.""
Output:","[' A.', ' B.']",1
1,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he never found good support in family, and turned* to gangs.""
 A. ""he never found good support in family, and turned to gangs.""
 B. ""he never found good support in family, and unturned to gangs.""
Output:","[' A.', ' B.']",1
2,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""it wasn't long* before rick got shot in a robbery.""
 A. ""it wasn't short before rick got shot in a robbery.""
 B. ""it wasn't long before rick got shot in a robbery.""
Output:","[' A.', ' B.']",0
3,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""the incident caused him to turn a new* leaf.""
 A. ""the incident caused him to turn a new leaf.""
 B. ""the incident caused him to turn a worn leaf.""
Output:","[' A.', ' B.']",1
4,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""laverne tests one of the brownies to make sure* it is delicious.""
 A. ""laverne tests one of the brownies to make trusted it is delicious.""
 B. ""laverne tests one of the brownies to make unsure it is delicious.""
Output:","[' A.', ' B.']",1
5,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""she had finally saved* enough for the trip.""
 A. ""she had finally lost enough for the trip.""
 B. ""she had finally saved enough for the trip.""
Output:","[' A.', ' B.']",0
6,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""she landed in spain and traveled east across the continent*.""
 A. ""she landed in spain and traveled east across the continent.""
 B. ""she landed in spain and traveled east across the incontinent.""
Output:","[' A.', ' B.']",1
7,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""she didn't like how different* everything was.""
 A. ""she didn't like how different everything was.""
 B. ""she didn't like how same everything was.""
Output:","[' A.', ' B.']",1
8,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""gina was worried the cookie dough in the tube would be gross*.""
 A. ""gina was worried the cookie dough in the tube would be net.""
 B. ""gina was worried the cookie dough in the tube would be gross.""
Output:","[' A.', ' B.']",0
9,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""she was very happy to find she was wrong*.""
 A. ""she was very happy to find she was right.""
 B. ""she was very happy to find she was wrong.""
Output:","[' A.', ' B.']",0
10,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""the cookies from the tube were as good* as from scratch.""
 A. ""the cookies from the tube were as evil as from scratch.""
 B. ""the cookies from the tube were as upright as from scratch.""
Output:","[' A.', ' B.']",0
11,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""gina intended* to only eat 2 cookies and save the rest.""
 A. ""gina unintended to only eat 2 cookies and save the rest.""
 B. ""gina intended to only eat 2 cookies and save the rest.""
Output:","[' A.', ' B.']",0
12,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""jim found an old disposable* camera in the bottom of his junk drawer.""
 A. ""jim found an old disposable camera in the bottom of his junk drawer.""
 B. ""jim found an old nondisposable camera in the bottom of his junk drawer.""
Output:","[' A.', ' B.']",1
13,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he began snapping away* at everything around him.""
 A. ""he began snapping home at everything around him.""
 B. ""he began snapping away at everything around him.""
Output:","[' A.', ' B.']",0
14,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""the counter clicked down* to one final photo.""
 A. ""the counter clicked up to one final photo.""
 B. ""the counter clicked down to one final photo.""
Output:","[' A.', ' B.']",0
15,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""the gravity of the situation began to dawn on* jim.""
 A. ""the gravity of the situation began to dawn on jim.""
 B. ""the gravity of the situation began to dawn off jim.""
Output:","[' A.', ' B.']",1
16,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""ron started his new* job as a landscaper today.""
 A. ""ron started his worn job as a landscaper today.""
 B. ""ron started his new job as a landscaper today.""
Output:","[' A.', ' B.']",0
17,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""his boss tells him to re-sod the front* yard of the mayor's home.""
 A. ""his boss tells him to re-sod the back yard of the mayor's home.""
 B. ""his boss tells him to re-sod the front yard of the mayor's home.""
Output:","[' A.', ' B.']",0
18,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""ron is ecstatic, but does a thorough job and finishes super early*.""
 A. ""ron is ecstatic, but does a thorough job and finishes super early.""
 B. ""ron is ecstatic, but does a thorough job and finishes super middle.""
Output:","[' A.', ' B.']",1
19,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""john and billy became very skilled* at beer pong.""
 A. ""john and billy became very unskilled at beer pong.""
 B. ""john and billy became very skilled at beer pong.""
Output:","[' A.', ' B.']",0
20,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""they won* the contest and advanced to the next level.""
 A. ""they lost the contest and advanced to the next level.""
 B. ""they won the contest and advanced to the next level.""
Output:","[' A.', ' B.']",0
21,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""the next level sent* them to vegas.""
 A. ""the next level unsent them to vegas.""
 B. ""the next level sent them to vegas.""
Output:","[' A.', ' B.']",0
22,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""caroline was a student in medical* school.""
 A. ""caroline was a student in surgical school.""
 B. ""caroline was a student in medical school.""
Output:","[' A.', ' B.']",0
23,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""caroline worked very hard to get good* grades.""
 A. ""caroline worked very hard to get upright grades.""
 B. ""caroline worked very hard to get evil grades.""
Output:","[' A.', ' B.']",1
24,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""caroline was very frustrated but she continued* to study hard.""
 A. ""caroline was very frustrated but she continued to study hard.""
 B. ""caroline was very frustrated but she discontinued to study hard.""
Output:","[' A.', ' B.']",1
25,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""her friends convinced* her to go camping.""
 A. ""her friends unconvinced her to go camping.""
 B. ""her friends convinced her to go camping.""
Output:","[' A.', ' B.']",0
26,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""she wasn't having a good* time.""
 A. ""she wasn't having a evil time.""
 B. ""she wasn't having a upright time.""
Output:","[' A.', ' B.']",0
27,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""tony was happy* to be going on his first cruise.""
 A. ""tony was unhappy to be going on his first cruise.""
 B. ""tony was happy to be going on his first cruise.""
Output:","[' A.', ' B.']",0
28,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he arrived at the docks and was ready* with all his luggage.""
 A. ""he arrived at the docks and was unready with all his luggage.""
 B. ""he arrived at the docks and was ready with all his luggage.""
Output:","[' A.', ' B.']",0
29,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he boarded and the ship left* the docks.""
 A. ""he boarded and the ship right the docks.""
 B. ""he boarded and the ship left the docks.""
Output:","[' A.', ' B.']",0
30,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""since he was a good* swimmer, he decides to try out for swim the team.""
 A. ""since he was a evil swimmer, he decides to try out for swim the team.""
 B. ""since he was a upright swimmer, he decides to try out for swim the team.""
Output:","[' A.', ' B.']",0
31,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""at the first swim meet, ignacio wins second* place!""
 A. ""at the first swim meet, ignacio wins first place!""
 B. ""at the first swim meet, ignacio wins 2d place!""
Output:","[' A.', ' B.']",0
32,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""danny and his best friend manned* the boat.""
 A. ""danny and his best friend manned the boat.""
 B. ""danny and his best friend unmanned the boat.""
Output:","[' A.', ' B.']",1
33,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""luckily, mary loved pandas, as was excited* to get started.""
 A. ""luckily, mary loved pandas, as was unexcited to get started.""
 B. ""luckily, mary loved pandas, as was excited to get started.""
Output:","[' A.', ' B.']",0
34,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""as soon as she got home*, mary booted up her computer and began.""
 A. ""as soon as she got away, mary booted up her computer and began.""
 B. ""as soon as she got home, mary booted up her computer and began.""
Output:","[' A.', ' B.']",0
35,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""she wrote about all she knew and researched a little* too!""
 A. ""she wrote about all she knew and researched a small too!""
 B. ""she wrote about all she knew and researched a much too!""
Output:","[' A.', ' B.']",1
36,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""she planned to enter her special purple rose at the fair*.""
 A. ""she planned to enter her special purple rose at the reasonable.""
 B. ""she planned to enter her special purple rose at the unfair.""
Output:","[' A.', ' B.']",1
37,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""she fertilized the rose bush and covered* it each night.""
 A. ""she fertilized the rose bush and bare it each night.""
 B. ""she fertilized the rose bush and covered it each night.""
Output:","[' A.', ' B.']",0
38,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""the roses grew more beautiful* every day.""
 A. ""the roses grew more beautiful every day.""
 B. ""the roses grew more ugly every day.""
Output:","[' A.', ' B.']",1
39,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""jesse had just* started fifth grade.""
 A. ""jesse had just started fifth grade.""
 B. ""jesse had unjust started fifth grade.""
Output:","[' A.', ' B.']",1
40,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he tried to make friends with the other* boys, but he couldn't.""
 A. ""he tried to make friends with the same boys, but he couldn't.""
 B. ""he tried to make friends with the other boys, but he couldn't.""
Output:","[' A.', ' B.']",0
41,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""they girls welcomed him into their social* groups happily.""
 A. ""they girls welcomed him into their unsocial groups happily.""
 B. ""they girls welcomed him into their social groups happily.""
Output:","[' A.', ' B.']",0
42,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""while she liked* her job, she longed for a break.""
 A. ""while she liked her job, she longed for a break.""
 B. ""while she disliked her job, she longed for a break.""
Output:","[' A.', ' B.']",1
43,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""one day, she tripped outside on uneven* pavement.""
 A. ""one day, she tripped outside on even pavement.""
 B. ""one day, she tripped outside on uneven pavement.""
Output:","[' A.', ' B.']",0
44,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""she broke her ankle and had to be off* work for a couple months.""
 A. ""she broke her ankle and had to be turned work for a couple months.""
 B. ""she broke her ankle and had to be on work for a couple months.""
Output:","[' A.', ' B.']",1
45,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""she grabbed her dad's keys and ran outside*.""
 A. ""she grabbed her dad's keys and ran outside.""
 B. ""she grabbed her dad's keys and ran inside.""
Output:","[' A.', ' B.']",1
46,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""alice was getting married* in a few weeks.""
 A. ""alice was getting married in a few weeks.""
 B. ""alice was getting unmarried in a few weeks.""
Output:","[' A.', ' B.']",1
47,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""one night, her mother called and she forgot to call her back*.""
 A. ""one night, her mother called and she forgot to call her front.""
 B. ""one night, her mother called and she forgot to call her back.""
Output:","[' A.', ' B.']",0
48,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""her mother left an angry* message on her phone.""
 A. ""her mother left an angry message on her phone.""
 B. ""her mother left an unangry message on her phone.""
Output:","[' A.', ' B.']",1
49,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""ted loves to go* to the movies.""
 A. ""ted loves to go to the movies.""
 B. ""ted loves to no-go to the movies.""
Output:","[' A.', ' B.']",1
50,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he has a big* party for the oscars and they all place bets.""
 A. ""he has a heavy party for the oscars and they all place bets.""
 B. ""he has a little party for the oscars and they all place bets.""
Output:","[' A.', ' B.']",1
51,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""nya had been asked on* a paintball trip with friends.""
 A. ""nya had been asked off a paintball trip with friends.""
 B. ""nya had been asked on a paintball trip with friends.""
Output:","[' A.', ' B.']",0
52,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""she shot paintballs at her friends and laughed the whole* time.""
 A. ""she shot paintballs at her friends and laughed the half time.""
 B. ""she shot paintballs at her friends and laughed the whole time.""
Output:","[' A.', ' B.']",0
53,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""all* of javier's friends at school have smartphones.""
 A. ""all of javier's friends at school have smartphones.""
 B. ""some of javier's friends at school have smartphones.""
Output:","[' A.', ' B.']",1
54,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""however, he still* uses an old style flip phone.""
 A. ""however, he sparkling uses an old style flip phone.""
 B. ""however, he noneffervescent uses an old style flip phone.""
Output:","[' A.', ' B.']",0
55,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""at first* he loves having the access to internet everywhere he goes.""
 A. ""at second he loves having the access to internet everywhere he goes.""
 B. ""at 1st he loves having the access to internet everywhere he goes.""
Output:","[' A.', ' B.']",0
56,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""rachel decided to donate blood at the local* blood drive.""
 A. ""rachel decided to donate blood at the general blood drive.""
 B. ""rachel decided to donate blood at the local blood drive.""
Output:","[' A.', ' B.']",0
57,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""she was a little* nervous because this was her first time.""
 A. ""she was a small nervous because this was her first time.""
 B. ""she was a much nervous because this was her first time.""
Output:","[' A.', ' B.']",1
58,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""the doctor told her that he had bad* news.""
 A. ""the doctor told her that he had good news.""
 B. ""the doctor told her that he had uncollectible news.""
Output:","[' A.', ' B.']",0
59,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""ron was watching a high*-speed chase on tv.""
 A. ""ron was watching a high-pitched-speed chase on tv.""
 B. ""ron was watching a low-speed chase on tv.""
Output:","[' A.', ' B.']",1
60,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""the cop was chasing the bad* guy through his neighborhood.""
 A. ""the cop was chasing the good guy through his neighborhood.""
 B. ""the cop was chasing the uncollectible guy through his neighborhood.""
Output:","[' A.', ' B.']",0
61,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""but then the cop caught the bad* guy.""
 A. ""but then the cop caught the uncollectible guy.""
 B. ""but then the cop caught the good guy.""
Output:","[' A.', ' B.']",1
62,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""sam loved his old* belt.""
 A. ""sam loved his young belt.""
 B. ""sam loved his old belt.""
Output:","[' A.', ' B.']",0
63,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he matched* it with everything.""
 A. ""he mismatched it with everything.""
 B. ""he matched it with everything.""
Output:","[' A.', ' B.']",0
64,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""unfortunately he gained too much* weight.""
 A. ""unfortunately he gained too much weight.""
 B. ""unfortunately he gained too little weight.""
Output:","[' A.', ' B.']",1
65,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""it became too small*.""
 A. ""it became too large.""
 B. ""it became too small.""
Output:","[' A.', ' B.']",0
66,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""larry bought a new* motorcycle.""
 A. ""larry bought a worn motorcycle.""
 B. ""larry bought a new motorcycle.""
Output:","[' A.', ' B.']",0
67,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he was excited to look cool*.""
 A. ""he was excited to look warm.""
 B. ""he was excited to look cool.""
Output:","[' A.', ' B.']",0
68,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""the first* time he tried riding it he dropped it.""
 A. ""the second time he tried riding it he dropped it.""
 B. ""the 1st time he tried riding it he dropped it.""
Output:","[' A.', ' B.']",0
69,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he hurt his leg and had to go* to the hospital.""
 A. ""he hurt his leg and had to no-go to the hospital.""
 B. ""he hurt his leg and had to go to the hospital.""
Output:","[' A.', ' B.']",0
70,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""i went on a blind* date a few days ago.""
 A. ""i went on a unsighted date a few days ago.""
 B. ""i went on a sighted date a few days ago.""
Output:","[' A.', ' B.']",1
71,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""she was cute and friendly*.""
 A. ""she was cute and unfriendly.""
 B. ""she was cute and well-disposed.""
Output:","[' A.', ' B.']",0
72,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""we were set up* through a co worker.""
 A. ""we were set down through a co worker.""
 B. ""we were set up through a co worker.""
Output:","[' A.', ' B.']",0
73,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""we seem to have some things in common*.""
 A. ""we seem to have some things in mutual.""
 B. ""we seem to have some things in individual.""
Output:","[' A.', ' B.']",1
74,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""sammy's coffee grinder was broken*.""
 A. ""sammy's coffee grinder was broken in.""
 B. ""sammy's coffee grinder was unbroken.""
Output:","[' A.', ' B.']",1
75,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he needed something to crush up* his coffee beans.""
 A. ""he needed something to crush up his coffee beans.""
 B. ""he needed something to crush down his coffee beans.""
Output:","[' A.', ' B.']",1
